season_number,season_id,metric_type,position,players,matches,goals,assists,shots,key_passes,assists_per_key_pass,shots_per_match,goals_per_match,tackles,tackles_succ,interceptions,clearances,blocks,def_actions,tackles_per_match,interceptions_per_match,def_actions_per_match,df_tackles,mf_tackles,df_interceptions,mf_interceptions,df_def_actions,mf_def_actions,df_tackle_share_pct,df_interception_share_pct,df_def_action_share_pct,df_mf_tackle_ratio,df_mf_interception_ratio,player_id,player_name,ovr,passes,warning,goal_assist_total
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,13,9,45,,,,,,,,,,,,,,,,,,,,,,,,,67a5b5e6-dbd3-4dd6-aa5f-1d53d840703a,内维奥 阿尔瓦雷斯,50.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,18,3,50,,,,,,,,,,,,,,,,,,,,,,,,,9885dc8e-d5b3-4a13-b3b7-62c16faa4bdb,茂 饭田,54.0,,,21
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,10,11,36,,,,,,,,,,,,,,,,,,,,,,,,,cc2f63e6-f838-4ba7-b693-89e9c977d37d,奥克塔维安 霍夫曼,43.0,,,21
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,15,5,39,,,,,,,,,,,,,,,,,,,,,,,,,8e5c17f5-7abc-4391-a353-6718aeccd921,约戈斯 马里诺,61.0,,,20
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,14,6,41,,,,,,,,,,,,,,,,,,,,,,,,,e247dca7-80ec-470e-b035-4a05048cc59c,科迪 格雷厄姆,44.0,,,20
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,18,11,8,34,,,,,,,,,,,,,,,,,,,,,,,,,3d4e6878-a9fb-483a-b0c1-b8bbee0e18e4,育塔蓬 德维,60.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,19,0,49,,,,,,,,,,,,,,,,,,,,,,,,,3286a2fd-0843-4b98-88aa-d0250cc3e46a,于格 布瓦洛,62.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,15,4,46,,,,,,,,,,,,,,,,,,,,,,,,,ba1ff906-5f98-43a1-8c20-da814037f294,郭毅文,56.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,15,15,4,43,,,,,,,,,,,,,,,,,,,,,,,,,e8739631-c842-42c3-a69f-11f12fa307d0,汪欧,62.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,9,9,40,,,,,,,,,,,,,,,,,,,,,,,,,b534586a-ffbd-4928-a52a-ce0ef741a059,卢克 科布,45.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,16,11,7,50,,,,,,,,,,,,,,,,,,,,,,,,,37df0534-0636-4e73-b3ed-ba34c392764b,博胡米尔 马林,60.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,9,9,40,,,,,,,,,,,,,,,,,,,,,,,,,92de69bb-7f58-4332-8f09-1675a35be2a4,韩止,57.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,14,4,65,,,,,,,,,,,,,,,,,,,,,,,,,dd50cfcd-cfd1-4af6-932f-a83609f906fe,泽基 萨迪克,64.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,22,12,6,36,,,,,,,,,,,,,,,,,,,,,,,,,fea49f96-d287-4337-80ba-df0490615d72,尼克 弗吕格,61.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,14,4,51,,,,,,,,,,,,,,,,,,,,,,,,,d5043a84-c8fa-4966-a88c-3f191f85ade5,利博尔 博加特廖夫,54.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,11,7,49,,,,,,,,,,,,,,,,,,,,,,,,,337cba03-2ba5-454f-9f96-d2a36a79d2e7,方嘉纳,50.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,15,13,5,36,,,,,,,,,,,,,,,,,,,,,,,,,1a899992-b671-47a9-a51a-605d6e2293b1,杰西 高夫,62.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,13,5,42,,,,,,,,,,,,,,,,,,,,,,,,,6b5e9198-30c9-4f1f-b325-55effb56105c,泰 赖,63.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,22,15,2,32,,,,,,,,,,,,,,,,,,,,,,,,,185f8a8f-62bb-475d-bde7-aea1fc213174,福特 弗林,52.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,11,6,33,,,,,,,,,,,,,,,,,,,,,,,,,e521eaf4-6102-4527-9428-9057c682fb40,正宇 吕,57.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,9,8,30,,,,,,,,,,,,,,,,,,,,,,,,,f4537801-278e-412c-b214-7a165576532b,佐蒂科斯 弗拉泰西,60.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,11,6,38,,,,,,,,,,,,,,,,,,,,,,,,,575fce25-98ca-4710-bbe4-3cae851ea449,波格丹 卡费尔尼科夫,62.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,9,8,28,,,,,,,,,,,,,,,,,,,,,,,,,dae51a3c-a199-4452-ad93-b91c003f9a04,斯拉夫科 布尔加科夫,62.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,12,5,40,,,,,,,,,,,,,,,,,,,,,,,,,cde9857f-eadd-4b1a-926f-465511cad4e2,哈立德 拉比耶,58.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,position,FW,672,9450,4169,1747,17425,5787,0.302,1.844,0.441,18751,10679,14841,8262,5265,47119,1.984,1.57,4.986,,,,,,,,,,,,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,position,MF,1033,14013,4074,2564,20600,9866,0.26,1.47,0.291,32749,24858,26132,9410,7849,76140,2.337,1.865,5.434,,,,,,,,,,,,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,position,DF,736,8689,1274,893,8599,2310,0.387,0.99,0.147,17024,14139,15428,3656,3250,39358,1.959,1.776,4.53,,,,,,,,,,,,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,position,GK,314,4457,8,141,61,89,1.584,0.014,0.002,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,defense_distribution,,,,,,,,,,,,,,,,,,,,17024,32749,15428,26132,39358,76140,24.84,27.35,24.2,0.52,0.59,,,,,,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,18,14,11,,19,0.579,,,,,,,,,,,,,,,,,,,,,,,d47e8710-eada-4447-9e54-030b7b5fb918,茂 北野,56.0,330,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,20,3,11,,18,0.611,,,,,,,,,,,,,,,,,,,,,,,8f4c178c-e4fc-4381-87ab-58e2c0ac229a,卢西恩 韦斯顿,55.0,330,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,17,10,11,,13,0.846,,,,,,,,,,,,,,,,,,,,,,,cc2f63e6-f838-4ba7-b693-89e9c977d37d,奥克塔维安 霍夫曼,43.0,340,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,21,14,10,,15,0.667,,,,,,,,,,,,,,,,,,,,,,,e5bc823b-521d-41eb-8734-a92ade550d28,哈康 维塔尔松,67.0,357,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,19,16,10,,20,0.5,,,,,,,,,,,,,,,,,,,,,,,9a5dbcd7-4715-43f2-8267-4e5456edf161,曾强,61.0,298,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,15,5,10,,27,0.37,,,,,,,,,,,,,,,,,,,,,,,9ed1066c-339f-4673-a035-385acbc7c5de,胡里奥 古德温,49.0,394,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,16,10,,24,0.417,,,,,,,,,,,,,,,,,,,,,,,6330c0b7-ea3c-48ac-9280-9fee65d49887,伊瓦诺 桑托斯,67.0,320,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,16,7,10,,24,0.417,,,,,,,,,,,,,,,,,,,,,,,d950765f-d034-4670-a999-fc3bd6a80d19,韦峻文,38.0,385,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,15,5,10,,14,0.714,,,,,,,,,,,,,,,,,,,,,,,535be0ad-0669-4843-ad0f-bd3300b612c7,佑镇 将,59.0,352,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,16,6,10,,14,0.714,,,,,,,,,,,,,,,,,,,,,,,587732d5-bc68-4ed7-840e-3bca74acd538,塔利卜 哈米德,62.0,360,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,19,9,9,,9,1.0,,,,,,,,,,,,,,,,,,,,,,,b534586a-ffbd-4928-a52a-ce0ef741a059,卢克 科布,45.0,296,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,15,3,9,,19,0.474,,,,,,,,,,,,,,,,,,,,,,,9a0fb473-4de6-4b21-8d60-2f18dac0db42,杜递,68.0,368,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,9,9,,18,0.5,,,,,,,,,,,,,,,,,,,,,,,92de69bb-7f58-4332-8f09-1675a35be2a4,韩止,57.0,314,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,18,6,9,,23,0.391,,,,,,,,,,,,,,,,,,,,,,,7c220f42-e24a-4208-8095-37a417920486,司空绍龙,64.0,408,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,18,4,9,,18,0.5,,,,,,,,,,,,,,,,,,,,,,,4230833c-f9cf-43c9-8b36-65fc7f507a3b,范智佳,59.0,523,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,15,2,9,,17,0.529,,,,,,,,,,,,,,,,,,,,,,,6e8bae14-6e5b-4864-bf15-3f4321e7884e,阿里安 帕里,67.0,397,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,13,9,,11,0.818,,,,,,,,,,,,,,,,,,,,,,,a7a2fa7a-fb54-44db-a638-ffa8150fd84a,曹致毅,68.0,279,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,16,12,9,,12,0.75,,,,,,,,,,,,,,,,,,,,,,,5294be98-16ca-4920-aa10-5229de3b8dec,斯特利奥斯 巴雷拉,77.0,299,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,19,8,9,,19,0.474,,,,,,,,,,,,,,,,,,,,,,,6586863c-a6c2-4366-b060-55e4ba05fab0,陈晨朗,73.0,558,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,17,13,9,,19,0.474,,,,,,,,,,,,,,,,,,,,,,,67a5b5e6-dbd3-4dd6-aa5f-1d53d840703a,内维奥 阿尔瓦雷斯,50.0,342,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,19,9,9,,21,0.429,,,,,,,,,,,,,,,,,,,,,,,603d6cfb-d273-4ac3-a142-fcf59659d13f,伊格纳茨 勒鲁瓦,69.0,383,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,8,9,,21,0.429,,,,,,,,,,,,,,,,,,,,,,,298879c0-9680-4998-b307-6cf6931943a2,许鼎,77.0,262,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,18,11,8,,11,0.727,,,,,,,,,,,,,,,,,,,,,,,3d4e6878-a9fb-483a-b0c1-b8bbee0e18e4,育塔蓬 德维,60.0,382,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,19,15,8,,35,0.229,,,,,,,,,,,,,,,,,,,,,,,9d4ef65d-dc64-41c3-a780-aaaf73c286d4,雅罗斯拉夫 萨维利耶夫,78.0,574,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,16,8,8,,27,0.296,,,,,,,,,,,,,,,,,,,,,,,17ad7b5e-321b-4522-bdba-fafa0447aba4,季书,77.0,366,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,9,8,,15,0.533,,,,,,,,,,,,,,,,,,,,,,,f4537801-278e-412c-b214-7a165576532b,佐蒂科斯 弗拉泰西,60.0,234,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,19,13,8,,25,0.32,,,,,,,,,,,,,,,,,,,,,,,3172fd22-855b-4378-9e37-ed8d846d28b2,若纳斯 穆尼奥斯,77.0,641,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,19,7,8,,23,0.348,,,,,,,,,,,,,,,,,,,,,,,1d7c735b-166a-4b50-9a93-d23ce6beeef5,马斯 耶斯佩尔,57.0,352,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,DF,,15,2,8,,6,1.333,,,,,,,,,,,,,,,,,,,,,,,aefe70a6-08b7-41f3-9287-e9947a5d40d3,埃米尔 穆塔西姆,60.0,282,True,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,18,7,8,,9,0.889,,,,,,,,,,,,,,,,,,,,,,,ddce5100-7f8c-4b97-8102-d2fa78cd58eb,科阿 贾尔斯,58.0,230,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,26,5,65,,,,,,,,,,,,,,,,,,,,,,,,,87497843-c37c-4e68-bad7-895efb88d6b9,卡尔米内 德卢卡,62.0,,,31
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,16,10,60,,,,,,,,,,,,,,,,,,,,,,,,,9a5dbcd7-4715-43f2-8267-4e5456edf161,曾强,61.0,,,26
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,14,11,62,,,,,,,,,,,,,,,,,,,,,,,,,d47e8710-eada-4447-9e54-030b7b5fb918,茂 北野,56.0,,,25
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,18,5,39,,,,,,,,,,,,,,,,,,,,,,,,,fad54b70-7f9b-4d94-a121-856bee2ddda6,冯伟俊,53.0,,,23
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,15,7,37,,,,,,,,,,,,,,,,,,,,,,,,,eb8e89e8-62c4-49a7-96a6-c840539e4412,国栋 朋,59.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,15,7,61,,,,,,,,,,,,,,,,,,,,,,,,,a7c53f9a-d66d-4a79-9e3c-a9c6a23f8b27,温坤宁,55.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,13,9,45,,,,,,,,,,,,,,,,,,,,,,,,,67a5b5e6-dbd3-4dd6-aa5f-1d53d840703a,内维奥 阿尔瓦雷斯,50.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,18,3,50,,,,,,,,,,,,,,,,,,,,,,,,,9885dc8e-d5b3-4a13-b3b7-62c16faa4bdb,茂 饭田,54.0,,,21
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,10,11,36,,,,,,,,,,,,,,,,,,,,,,,,,cc2f63e6-f838-4ba7-b693-89e9c977d37d,奥克塔维安 霍夫曼,43.0,,,21
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,15,5,39,,,,,,,,,,,,,,,,,,,,,,,,,8e5c17f5-7abc-4391-a353-6718aeccd921,约戈斯 马里诺,61.0,,,20
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,14,6,41,,,,,,,,,,,,,,,,,,,,,,,,,e247dca7-80ec-470e-b035-4a05048cc59c,科迪 格雷厄姆,44.0,,,20
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,18,11,8,34,,,,,,,,,,,,,,,,,,,,,,,,,3d4e6878-a9fb-483a-b0c1-b8bbee0e18e4,育塔蓬 德维,60.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,19,0,49,,,,,,,,,,,,,,,,,,,,,,,,,3286a2fd-0843-4b98-88aa-d0250cc3e46a,于格 布瓦洛,62.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,15,4,46,,,,,,,,,,,,,,,,,,,,,,,,,ba1ff906-5f98-43a1-8c20-da814037f294,郭毅文,56.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,15,15,4,43,,,,,,,,,,,,,,,,,,,,,,,,,e8739631-c842-42c3-a69f-11f12fa307d0,汪欧,62.0,,,19
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,9,9,40,,,,,,,,,,,,,,,,,,,,,,,,,b534586a-ffbd-4928-a52a-ce0ef741a059,卢克 科布,45.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,16,11,7,50,,,,,,,,,,,,,,,,,,,,,,,,,37df0534-0636-4e73-b3ed-ba34c392764b,博胡米尔 马林,60.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,9,9,40,,,,,,,,,,,,,,,,,,,,,,,,,92de69bb-7f58-4332-8f09-1675a35be2a4,韩止,57.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,14,4,65,,,,,,,,,,,,,,,,,,,,,,,,,dd50cfcd-cfd1-4af6-932f-a83609f906fe,泽基 萨迪克,64.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,22,12,6,36,,,,,,,,,,,,,,,,,,,,,,,,,fea49f96-d287-4337-80ba-df0490615d72,尼克 弗吕格,61.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,14,4,51,,,,,,,,,,,,,,,,,,,,,,,,,d5043a84-c8fa-4966-a88c-3f191f85ade5,利博尔 博加特廖夫,54.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,11,7,49,,,,,,,,,,,,,,,,,,,,,,,,,337cba03-2ba5-454f-9f96-d2a36a79d2e7,方嘉纳,50.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,15,13,5,36,,,,,,,,,,,,,,,,,,,,,,,,,1a899992-b671-47a9-a51a-605d6e2293b1,杰西 高夫,62.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,13,5,42,,,,,,,,,,,,,,,,,,,,,,,,,6b5e9198-30c9-4f1f-b325-55effb56105c,泰 赖,63.0,,,18
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,22,15,2,32,,,,,,,,,,,,,,,,,,,,,,,,,185f8a8f-62bb-475d-bde7-aea1fc213174,福特 弗林,52.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,11,6,33,,,,,,,,,,,,,,,,,,,,,,,,,e521eaf4-6102-4527-9428-9057c682fb40,正宇 吕,57.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,9,8,30,,,,,,,,,,,,,,,,,,,,,,,,,f4537801-278e-412c-b214-7a165576532b,佐蒂科斯 弗拉泰西,60.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,11,6,38,,,,,,,,,,,,,,,,,,,,,,,,,575fce25-98ca-4710-bbe4-3cae851ea449,波格丹 卡费尔尼科夫,62.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,17,9,8,28,,,,,,,,,,,,,,,,,,,,,,,,,dae51a3c-a199-4452-ad93-b91c003f9a04,斯拉夫科 布尔加科夫,62.0,,,17
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,12,5,40,,,,,,,,,,,,,,,,,,,,,,,,,cde9857f-eadd-4b1a-926f-465511cad4e2,哈立德 拉比耶,58.0,,,17
